Grade	Subject	Chapter Name	Learning Outcomes
NURSERY	English	Listening & Speaking Basics	Responds to name and simple instructions; speaks simple 2–3 word sentences.
NURSERY	English	My First Vocabulary	Identifies common objects (ball, cup, fruits, animals).
NURSERY	English	Rhymes and Rhythm	Recites simple rhymes with actions.
NURSERY	English	Introduction to Letters	Recognises some letters and sounds (informal exposure).
NURSERY	Mathematics	Shapes Around Us	Identifies basic shapes (circle, square, triangle).
NURSERY	Mathematics	Big and Small	Understands concepts of big–small, long–short, more–less.
NURSERY	Mathematics	Matching and Grouping	Matches objects and groups similar items.
NURSERY	Mathematics	Oral Counting (1-5)	Counts orally 1–5 or 1–10 (informal).
NURSERY	Physical Education	Active Play	Runs, jumps, hops, and climbs safely.
NURSERY	Physical Education	Fine Motor Skills	Holds crayons with improved grip; scribbles and draws random shapes.
NURSERY	EVS & Social Skills	My Friends	Plays with peers and shares toys.
NURSERY	EVS & Social Skills	My Emotions	Expresses basic emotions (happy, sad, angry).
NURSERY	EVS & Social Skills	Daily Routines	Follows routines (wash hands, keep bag, line up).
NURSERY	Creative Arts	Colors and Paints	Enjoys colouring and painting.
NURSERY	Creative Arts	Music and Movement	Sings simple songs; participates in free dance.
LKG	English	Speaking in Sentences	Speaks in full sentences; narrates small stories from pictures.
LKG	English	Alphabet Recognition (A-Z)	Identifies A–Z and a–z (visual recognition).
LKG	English	Phonics Sounds	Associates letters with sounds.
LKG	English	My Name and Sight Words	Recognises name, labels, and simple sight words.
LKG	English	Drawing Sounds	Draws objects and labels them with initial sound.
LKG	Mathematics	Oral Counting (1-20)	Counts 1–20 (orally).
LKG	Mathematics	Number Recognition (1-10)	Recognises numbers 1–10 visually.
LKG	Mathematics	Comparisons	Compares quantities (more/less, heavy/light).
LKG	Mathematics	Shapes and Patterns	Identifies shapes & patterns.
LKG	Mathematics	Sequencing	Orders objects by size; understands sequencing (first–next–last).
LKG	EVS	My Family	Identifies family members.
LKG	EVS	Nature Watch	Names animals, birds, fruits, vegetables.
LKG	EVS	Weather and Time	Understands weather (hot/cold), day & night.
LKG	EVS	Hygiene and Safety	Learns basic hygiene and safety rules.
